ID: pattern
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              127        
Frame 0000    1101 0000000000540000
Frame 0001    0001 0000000000540001
Frame 0002    0001 0000000000540002
Frame 0003    0001 0000000000540003
Frame 0004    0001 0000000000540004
Frame 0005    0001 0000000000540005
Frame 0006    0001 0000000000540006
Frame 0007    0001 0000000000540007
Frame 0008    0001 0000000000540008
Frame 0009    0001 0000000000540009
Frame 0010    0001 000000000054000a
Frame 0011    0001 000000000054000b
Frame 0012    0001 000000000054000c
Frame 0013    0001 000000000054000d
Frame 0014    0001 000000000054000e
Frame 0015    0001 000000000054000f
Frame 0016    0001 0000000000540010
Frame 0017    0001 0000000000540011
Frame 0018    0001 0000000000540012
Frame 0019    0001 0000000000540013
Frame 0020    0001 0000000000540014
Frame 0021    0001 0000000000540015
Frame 0022    0001 0000000000540016
Frame 0023    0001 0000000000540017
Frame 0024    0001 0000000000540018
Frame 0025    0001 0000000000540019
Frame 0026    0001 000000000054001a
Frame 0027    0001 000000000054001b
Frame 0028    0001 000000000054001c
Frame 0029    0001 000000000054001d
Frame 0030    0001 000000000054001e
Frame 0031    0001 000000000054001f
Frame 0032    0001 0000000000540020
Frame 0033    0001 0000000000540021
Frame 0034    0001 0000000000540022
Frame 0035    0001 0000000000540023
Frame 0036    0001 0000000000540024
Frame 0037    0001 0000000000540025
Frame 0038    0001 0000000000540026
Frame 0039    0001 0000000000540027
Frame 0040    0001 0000000000540028
Frame 0041    0001 0000000000540029
Frame 0042    0001 000000000054002a
Frame 0043    0001 000000000054002b
Frame 0044    0001 000000000054002c
Frame 0045    0001 000000000054002d
Frame 0046    0001 000000000054002e
Frame 0047    0001 000000000054002f
Frame 0048    0001 0000000000540030
Frame 0049    0001 0000000000540031
Frame 0050    0001 0000000000540032
Frame 0051    0001 0000000000540033
Frame 0052    0001 0000000000540034
Frame 0053    0001 0000000000540035
Frame 0054    0001 0000000000540036
Frame 0055    0001 0000000000540037
Frame 0056    0001 0000000000540038
Frame 0057    0001 0000000000540039
Frame 0058    0001 000000000054003a
Frame 0059    0001 000000000054003b
Frame 0060    0001 000000000054003c
Frame 0061    0001 000000000054003d
Frame 0062    0001 000000000054003e
Frame 0063    0001 000000000054003f
Frame 0064    0001 0000000000540040
Frame 0065    0001 0000000000540041
Frame 0066    0001 0000000000540042
Frame 0067    0001 0000000000540043
Frame 0068    0001 0000000000540044
Frame 0069    0001 0000000000540045
Frame 0070    0001 0000000000540046
Frame 0071    0001 0000000000540047
Frame 0072    0001 0000000000540048
Frame 0073    0001 0000000000540049
Frame 0074    0001 000000000054004a
Frame 0075    0001 000000000054004b
Frame 0076    0001 000000000054004c
Frame 0077    0001 000000000054004d
Frame 0078    0001 000000000054004e
Frame 0079    0001 000000000054004f
Frame 0080    0001 0000000000540050
Frame 0081    0001 0000000000540051
Frame 0082    0001 0000000000540052
Frame 0083    0001 0000000000540053
Frame 0084    0001 0000000000540054
Frame 0085    0001 0000000000540055
Frame 0086    0001 0000000000540056
Frame 0087    0001 0000000000540057
Frame 0088    0001 0000000000540058
Frame 0089    0001 0000000000540059
Frame 0090    0001 000000000054005a
Frame 0091    0001 000000000054005b
Frame 0092    0001 000000000054005c
Frame 0093    0001 000000000054005d
Frame 0094    0001 000000000054005e
Frame 0095    0001 000000000054005f
Frame 0096    0001 0000000000540060
Frame 0097    0001 0000000000540061
Frame 0098    0001 0000000000540062
Frame 0099    0001 0000000000540063
Frame 0100    0001 0000000000540064
Frame 0101    0001 0000000000540065
Frame 0102    0001 0000000000540066
Frame 0103    0001 0000000000540067
Frame 0104    0001 0000000000540068
Frame 0105    0001 0000000000540069
Frame 0106    0001 000000000054006a
Frame 0107    0001 000000000054006b
Frame 0108    0001 000000000054006c
Frame 0109    0001 000000000054006d
Frame 0110    0001 000000000054006e
Frame 0111    0001 000000000054006f
Frame 0112    0001 0000000000540070
Frame 0113    0001 0000000000540071
Frame 0114    0001 0000000000540072
Frame 0115    0001 0000000000540073
Frame 0116    0001 0000000000540074
Frame 0117    0001 0000000000540075
Frame 0118    0001 0000000000540076
Frame 0119    0001 0000000000540077
Frame 0120    0001 0000000000540078
Frame 0121    0001 0000000000540079
Frame 0122    0001 000000000054007a
Frame 0123    0001 000000000054007b
Frame 0124    0001 000000000054007c
Frame 0125    0001 000000000054007d
Frame 0126    0001 000000000054007e
Frame 0127    0001 000000000054007f
Frame 0128    0001 0000000000540080
Frame 0129    0001 0000000000540081
Frame 0130    0001 0000000000540082
Frame 0131    0001 0000000000540083
Frame 0132    0001 0000000000540084
Frame 0133    0001 0000000000540085
Frame 0134    0001 0000000000540086
Frame 0135    0001 0000000000540087
